record_id,sequence_id,target_name_normalized,target_role,activity_label_binary,activity_label_multiclass,evidence_weight,kd_nM,pkd,assay_type,confidence_tier,evidence_tier,family_id,source_group_id
ctr_0020,src_kr20180054018a::KR201_Gly6,glycine,counter_target,1,counter_target_positive,0.92,54.3,7.2652,SPR,medium,gold,kr201_seqgrp_006,KR20180054018A
ctr_0022,src_kr20180054018a::KR201_Gly7,glycine,counter_target,1,counter_target_positive,0.92,113000,3.946922,SPR,medium,gold,kr201_seqgrp_007,KR20180054018A
ctr_0024,src_kr20180054018a::KR201_Gly8,glycine,counter_target,1,counter_target_positive,0.92,1240,5.906578,SPR,medium,gold,kr201_seqgrp_008,KR20180054018A
glyphosate_chergui2021_CHERGUI_GlyP_1,src_chergui2021::CHERGUI_GlyP_1,glyphosate,primary_target,1,positive,0.88,30.73,7.512437,fluorimetry,high,silver,,10.26686/wgtn.17148626
glyphosate_chergui2021_CHERGUI_GlyP_14,src_chergui2021::CHERGUI_GlyP_14,glyphosate,primary_target,1,positive,0.78,64.55,7.190104,fluorimetry,medium,silver,,10.26686/wgtn.17148626
glyphosate_chergui2021_CHERGUI_GlyP_18,src_chergui2021::CHERGUI_GlyP_18,glyphosate,primary_target,1,positive,0.78,46.48,7.332734,fluorimetry,medium,silver,,10.26686/wgtn.17148626
glyphosate_chergui2021_CHERGUI_GlyP_1_7,src_chergui2021::CHERGUI_GlyP_1_7,glyphosate,primary_target,1,positive,0.78,67.44,7.171082,fluorimetry,medium,silver,,10.26686/wgtn.17148626
glyphosate_chergui2021_CHERGUI_GlyP_2,src_chergui2021::CHERGUI_GlyP_2,glyphosate,primary_target,1,strong_positive,0.88,3.12,8.505845,fluorimetry,high,silver,,10.26686/wgtn.17148626
glyphosate_chergui2021_CHERGUI_GlyP_6,src_chergui2021::CHERGUI_GlyP_6,glyphosate,primary_target,1,positive,0.88,29.49,7.530325,fluorimetry,high,silver,,10.26686/wgtn.17148626
glyphosate_kr101338520b1_G1,src_kr101338520b1::KR101_G1,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_013,KR101338520B1
glyphosate_kr101338520b1_G11,src_kr101338520b1::KR101_G11,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_006,KR101338520B1
glyphosate_kr101338520b1_G12,src_kr101338520b1::KR101_G12,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_007,KR101338520B1
glyphosate_kr101338520b1_G13,src_kr101338520b1::KR101_G13,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_018,KR101338520B1
glyphosate_kr101338520b1_G14,src_kr101338520b1::KR101_G14,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_005,KR101338520B1
glyphosate_kr101338520b1_G15,src_kr101338520b1::KR101_G15,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_004,KR101338520B1
glyphosate_kr101338520b1_G16,src_kr101338520b1::KR101_G16,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_016,KR101338520B1
glyphosate_kr101338520b1_G18,src_kr101338520b1::KR101_G18,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_002,KR101338520B1
glyphosate_kr101338520b1_G19,src_kr101338520b1::KR101_G19,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_020,KR101338520B1
glyphosate_kr101338520b1_G2,src_kr101338520b1::KR101_G2,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_003,KR101338520B1
glyphosate_kr101338520b1_G20,src_kr101338520b1::KR101_G20,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_008,KR101338520B1
glyphosate_kr101338520b1_G21,src_kr101338520b1::KR101_G21,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_021,KR101338520B1
glyphosate_kr101338520b1_G22,src_kr101338520b1::KR101_G22,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_001,KR101338520B1
glyphosate_kr101338520b1_G23,src_kr101338520b1::KR101_G23,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_011,KR101338520B1
glyphosate_kr101338520b1_G25,src_kr101338520b1::KR101_G25,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_025,KR101338520B1
glyphosate_kr101338520b1_G27,src_kr101338520b1::KR101_G27,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_010,KR101338520B1
glyphosate_kr101338520b1_G28,src_kr101338520b1::KR101_G28,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_012,KR101338520B1
glyphosate_kr101338520b1_G29,src_kr101338520b1::KR101_G29,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_017,KR101338520B1
glyphosate_kr101338520b1_G3,src_kr101338520b1::KR101_G3,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_014,KR101338520B1
glyphosate_kr101338520b1_G30,src_kr101338520b1::KR101_G30,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_023,KR101338520B1
glyphosate_kr101338520b1_G32,src_kr101338520b1::KR101_G32,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_022,KR101338520B1
glyphosate_kr101338520b1_G33,src_kr101338520b1::KR101_G33,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_024,KR101338520B1
glyphosate_kr101338520b1_G34,src_kr101338520b1::KR101_G34,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_009,KR101338520B1
glyphosate_kr101338520b1_G4,src_kr101338520b1::KR101_G4,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_019,KR101338520B1
glyphosate_kr101338520b1_G8,src_kr101338520b1::KR101_G8,glyphosate,primary_target,,weak_positive_claim,0.45,null,,AuNP_colorimetric,low,bronze,kr101_seqgrp_006,KR101338520B1
glyphosate_kr101338520b1_G9,src_kr101338520b1::KR101_G9,glyphosate,primary_target,,weak_positive_claim,0.58,null,,AuNP_colorimetric,medium,bronze,kr101_seqgrp_015,KR101338520B1
glyphosate_kr20180054018a_Gly1,src_kr20180054018a::KR201_Gly1,glyphosate,primary_target,1,strong_positive,1.0,0.0968,10.014125,SPR,high,gold,kr201_seqgrp_001,KR20180054018A
glyphosate_kr20180054018a_Gly2,src_kr20180054018a::KR201_Gly2,glyphosate,primary_target,1,strong_positive,0.92,6.02,8.220404,SPR,medium,gold,kr201_seqgrp_002,KR20180054018A
glyphosate_kr20180054018a_Gly3,src_kr20180054018a::KR201_Gly3,glyphosate,primary_target,1,strong_positive,0.92,8.64,8.063486,SPR,medium,gold,kr201_seqgrp_003,KR20180054018A
glyphosate_kr20180054018a_Gly4,src_kr20180054018a::KR201_Gly4,glyphosate,primary_target,1,strong_positive,1.0,0.0737,10.132533,SPR,high,gold,kr201_seqgrp_004,KR20180054018A
glyphosate_kr20180054018a_Gly5,src_kr20180054018a::KR201_Gly5,glyphosate,primary_target,1,strong_positive,0.92,0.134,9.872895,SPR,medium,gold,kr201_seqgrp_005,KR20180054018A
glyphosate_kr20180054018a_Gly6,src_kr20180054018a::KR201_Gly6,glyphosate,primary_target,1,strong_positive,0.92,0.0541,10.266803,SPR,medium,gold,kr201_seqgrp_006,KR20180054018A
glyphosate_kr20180054018a_Gly7,src_kr20180054018a::KR201_Gly7,glyphosate,primary_target,1,strong_positive,1.0,0.00713,11.14691,SPR,high,gold,kr201_seqgrp_007,KR20180054018A
glyphosate_kr20180054018a_Gly8,src_kr20180054018a::KR201_Gly8,glyphosate,primary_target,1,strong_positive,1.0,0.00416,11.380907,SPR,high,gold,kr201_seqgrp_008,KR20180054018A
